From,To
Aid sector (DAC 5 code),Aid category (DAC 5 code)
Aid sector (DAC 5 code),Aid subcategory (DAC 5 code)
Aid sector (DAC 5 code),Aid description (CRS code)
Recipient region,Recipient country
